Android (24/7.0; 320dpi; 720x1280; samsung; SM-J530FM; j5y17lte; samsungexynos7870; tr_TR;
Android (22/5.1; 320dpi; 720x1280; Meizu; M3s; M3s; mt6755; tr_TR;
Android (24/7.0; 640dpi; 1440x2560; samsung; SM-G925F; zerolte; samsungexynos7420; tr_TR;
Android (23/6.0; 480dpi; 1794x1080; HUAWEI; EVA-L09; HWEVA; hi3650; tr_TR;
Android (26/8.0.0; 640dpi; 1440x2768; samsung; SM-G950F; dreamlte; samsungexynos8895; tr_TR;
Android (23/6.0.1; 320dpi; 1280x720; samsung; SM-J500H; j53g; qcom; tr_TR;
Android (22/5.1; 480dpi; 1080x1920; Meizu; m3 note; m3note; mt6755; tr_TR;
Android (22/5.1.1; 213dpi; 1280x800; samsung; SM-T331; millet3g; qcom; tr_TR;
Android (22/5.1.1; 320dpi; 720x1280; Xiaomi; Redmi 3; ido; qcom; tr_TR))
Android (24/7.0; 480dpi; 1080x1776; LENOVO/Lenovo; Lenovo P2a42; P2a42; qcom; tr_TR;
Android (19/4.4.2; 240dpi; 540x960; Lenovo; Lenovo S660; S660; mt6582; tr_TR;
Android (23/6.0; 480dpi; 1080x1920; Meizu; MX6; MX6; mt6797; tr_TR;
Android (24/7.0; 480dpi; 1080x1920; samsung; SM-A520F; a5y17lte; samsungexynos7880; tr_TR;
Android (19/4.4.4; 240dpi; 540x904; Sony; E2115; E2115; mt6582; tr_TR;
Android (22/5.1; 320dpi; 720x1184; HUAWEI; HUAWEI TIT-U02; HWTIT-U6582; mt6582; tr_TR;
Android (26/8.0.0; 640dpi; 1440x2768; samsung; SM-G950F; dreamlte; samsungexynos8895; tr_TR;
Android (24/7.0; 420dpi; 1080x1920; samsung; SM-C7000; c7ltechn; qcom; tr_TR;
Android (24/7.0; 320dpi; 720x1208; HUAWEI; SLA-L22; HWSLA-Q; qcom; tr_TR;
Android (24/7.0; 480dpi; 1080x1920; samsung; SM-A520F; a5y17lte; samsungexynos7880; tr_TR;
Android (21/5.0.1; 480dpi; 1080x1920; samsung; GT-I9500; ja3g; universal5410; tr_TR;
Android (26/8.0.0; 408dpi; 1080x1920; HTC/htc; HTC U11; htc_ocndugl; htc_ocn; tr_TR;
Android (25/7.1.2; 320dpi; 720x1280; Xiaomi; Redmi 4A; rolex; qcom; tr_TR;
Android (23/6.0; 320dpi; 720x1280; Meizu; U10; U10; mt6755; tr_TR;
Android (17/4.2.2; 240dpi; 540x960; Lenovo; Lenovo S660; S660; mt6582; tr_TR;
Android (16/4.1.2; 240dpi; 854x480; LENOVO/Lenovo; Lenovo A706_ROW; armani_row; qcom; tr_TR;
Android (23/6.0; 480dpi; 1080x1920; LENOVO/Lenovo; Lenovo A7010a48; A7010a48; mt6735; tr_TR;
Android (24/7.0; 480dpi; 1080x1920; samsung; SM-A510F; a5xelte; samsungexynos7580; tr_TR;
Android (25/7.1.2; 440dpi; 1080x2030; Xiaomi/xiaomi; Redmi 5 Plus; vince; qcom; tr_TR;
Android (22/5.1.1; 320dpi; 720x1280; samsung; SM-J320H; j3x3g; sc8830; tr_TR;
Android (24/7.0; 640dpi; 1440x2560; samsung; SM-G920F; zeroflte; samsungexynos7420; tr_TR;
Android (25/7.1.2; 320dpi; 720x1280; Xiaomi; Redmi 5A; riva; qcom; tr_TR;
Android (22/5.1; 320dpi; 720x1280; Meizu; m2; m2; mt6735; tr_TR;
Android (24/7.0; 420dpi; 1080x1920; samsung; SM-J730FM; j7y17lte; samsungexynos7870; tr_TR;
Android (24/7.0; 480dpi; 1080x1920; samsung; SM-G935F; hero2lte; samsungexynos8890; tr_TR;
Android (22/5.1; 320dpi; 720x1280; Meizu; m2; m2; mt6735; tr_TR;
Android (22/5.1.1; 320dpi; 720x1280; samsung; SM-J5108; j5xltecmcc; qcom; tr_TR;
Android (23/6.0.1; 480dpi; 1080x1920; samsung; SM-A700FD; a7lte; qcom; tr_TR;
Android (22/5.1.1; 320dpi; 720x1280; LENOVO/Lenovo; Lenovo A6020a40; A6020a40; qcom; tr_TR;
Android (22/5.1; 480dpi; 1152x1920; Meizu; MX4; mx4; mt6595; tr_TR;
Android (24/7.0; 320dpi; 720x1280; samsung; SM-J710F; j7xelte; samsungexynos7870; tr_TR;
Android (23/6.0; 320dpi; 720x1280; Meizu; M5s; M5s; mt6735; tr_TR;
Android (22/5.1; 320dpi; 720x1184; HUAWEI; HUAWEI TIT-U02; HWTIT-U6582; mt6582; tr_TR;
Android (21/5.0.1; 240dpi; 480x800; ZTE; ZTE BLADE A5 PRO; P731A20; sc8830; tr_TR;
Android (22/5.1; 320dpi; 720x1280; Meizu; m2; m2; mt6735; tr_TR;
Android (22/5.1.1; 320dpi; 720x1280; samsung; SM-J320H; j3x3g; sc8830; tr_TR;
Android (23/6.0; 480dpi; 1080x1776; Sony; E5633; E5633; mt6795; tr_TR;
Android (21/5.0.2; 240dpi; 540x960; samsung; SM-G530H; fortunave3g; qcom; tr_TR;
Android (19/4.4.4; 320dpi; 720x1280; Xiaomi; HM 1S; armani; qcom; tr_TR;
Android (23/6.0; 480dpi; 1080x1920; Meizu; U20; U20; mt6755; tr_TR;
Android (25/7.1.2; 440dpi; 1080x2030; Xiaomi/xiaomi; Redmi 5 Plus; vince; qcom; tr_TR;
Android (21/5.0; 320dpi; 720x1184; Sony; E2303; E2303; qcom; tr_TR;
Android (26/8.0.0; 480dpi; 1080x2076; samsung; SM-G950F; dreamlte; samsungexynos8895; tr_TR;
Android (22/5.1.1; 480dpi; 1080x1920; Xiaomi; Redmi Note 3; kenzo; qcom; tr_TR;
Android (22/5.1; 320dpi; 720x1280; CUBOT; CUBOT_NOTE_S; CUBOT_NOTE_S; mt6580; tr_TR;
Android (26/8.0.0; 480dpi; 1080x1920; HUAWEI/HONOR; STF-L09; HWSTF; hi3660; tr_TR;
Android (23/6.0; 320dpi; 720x1184; myPhone; HAMMER_ENERGY; HAMMER_ENERGY_PLAY; mt6735; tr_TR;
Android (26/8.0.0; 420dpi; 1080x2094; samsung; SM-G955F; dream2lte; samsungexynos8895; tr_TR;
Android (24/7.0; 480dpi; 1080x1794; HUAWEI; EVA-L09; HWEVA; hi3650; tr_TR;
Android (24/7.0; 320dpi; 720x1280; samsung; SM-J701F; j7velte; samsungexynos7870; tr_TR;
Android (23/6.0.1; 480dpi; 1080x1920; samsung; SM-G903F; s5neolte; samsungexynos7580; tr_TR;
Android (23/6.0; 480dpi; 1080x1920; Meizu; M5 Note; M5Note; mt6755; tr_TR;
Android (26/8.0.0; 480dpi; 1080x2076; samsung; SM-G950F; dreamlte; samsungexynos8895; tr_TR;
Android (21/5.0.1; 480dpi; 1080x1920; samsung; GT-I9515; jfvelte; qcom; it_IT)
Android (16/4.1.2; 240dpi; 540x960; HTC/htc; HTC Desire 600 dual sim; cp3dug; cp3dug; tr_TR;
Android (22/5.1; 480dpi; 1080x1920; Meizu; m2 note; m2note; mt6735; tr_TR;
Android (25/7.1.2; 320dpi; 720x1280; Xiaomi; Redmi 4X; santoni; qcom; tr_TR;
Android (22/5.1; 480dpi; 1080x1920; Meizu; m2 note; m2note; mt6735; tr_TR;
Android (24/7.0; 480dpi; 1080x1920; samsung; SM-A710F; a7xelte; samsungexynos7580; tr_TR;
Android (23/6.0; 320dpi; 720x1280; Meizu; U10; U10; mt6755; tr_TR;
Android (24/7.0; 480dpi; 1080x1920; samsung; SM-A710F; a7xelte; samsungexynos7580; tr_TR;
Android (23/6.0; 480dpi; 1080x1920; Meizu; PRO 6; PRO6; mt6797; tr_TR;
Android (24/7.0; 640dpi; 1440x2560; samsung; SM-G920F; zeroflte; samsungexynos7420; tr_TR;
Android (25/7.1.1; 420dpi; 1080x2220; samsung; SM-A730F; jackpot2lte; samsungexynos7885; tr_TR;
Android (23/6.0; 480dpi; 1080x1776; Sony; E5633; E5633; mt6795; tr_TR;
Android (24/7.0; 480dpi; 1080x1920; samsung; SM-G935F; hero2lte; samsungexynos8890; tr_TR;
Android (25/7.1.2; 320dpi; 720x1280; Xiaomi; Redmi 4A; rolex; qcom; tr_TR;
Android (24/7.0; 480dpi; 1080x2040; HUAWEI; RNE-L21; HWRNE; hi6250; tr_TR;
Android (25/7.1.2; 320dpi; 720x1280; Xiaomi; Redmi 4X; santoni; qcom; tr_TR;
Android (22/5.1; 320dpi; 720x1280; Meizu; M3s; M3s; mt6755; tr_TR;
Android (21/5.0.2; 240dpi; 540x960; samsung; SM-G530H; fortuna3g; qcom; tr_TR;
Android (23/6.0; 480dpi; 1080x1920; Meizu; M5 Note; M5Note; mt6755; tr_TR;
Android (22/5.1.1; 240dpi; 540x888; Sony; D2302; D2302; qcom; tr_TR;
Android (26/8.0.0; 420dpi; 1080x2094; samsung; SM-G955F; dream2lte; samsungexynos8895; tr_TR;
Android (26/8.0.0; 420dpi; 1920x1080; OnePlus; ONEPLUS A3010; OnePlus3T; qcom; tr_TR;
Android (22/5.1.1; 240dpi; 480x800; samsung; SM-J120H; j1x3g; sc8830; tr_TR;
Android (23/6.0; 320dpi; 720x1280; Meizu; M5s; M5s; mt6735; ru)
Android (25/7.1.1; 480dpi; 1080x2076; samsung; SM-A530F; jackpotlte; samsungexynos7885; tr_TR;
Android (26/8.0.0; 480dpi; 1080x1920; samsung; SM-A520F; a5y17lte; samsungexynos7880; tr_TR;
Android (22/5.1.1; 240dpi; 540x960; samsung; SM-J200H; j23g; sc8830; tr_TR;
Android (24/7.0; 320dpi; 720x1280; samsung; SM-A320F; a3y17lte; samsungexynos7870; tr_TR;
Android (21/5.0.1; 480dpi; 1080x1920; samsung; SAMSUNG-SGH-I537; jactivelteatt; qcom; tr_TR;
Android (26/8.0.0; 420dpi; 1080x2094; samsung; SM-N950F; greatlte; samsungexynos8895; tr_TR;
Android (16/4.1.1; 320dpi; 800x1280; Meizu; M040; mx2; mx2; tr_TR))
Android (24/7.0; 320dpi; 720x1280; samsung; SM-A310F; a3xelte; samsungexynos7580; tr_TR;
Android (19/4.4.4; 240dpi; 480x800; samsung; SM-G360H; core33g; sc8830; tr_TR))
Android (24/7.0; 320dpi; 720x1280; samsung; SM-A310F; a3xelte; samsungexynos7580; tr_TR;
Android (22/5.1; 480dpi; 1080x1920; Meizu; m3 note; m3note; mt6755; tr_TR;
Android (25/7.1.2; 320dpi; 720x1280; Xiaomi; Redmi 4X; santoni; qcom; tr_TR;
Android (26/8.0.0; 480dpi; 1080x2076; samsung; SM-G950F; dreamlte; samsungexynos8895; tr_TR;
Android (25/7.1.2; 440dpi; 1080x2030; Xiaomi/xiaomi; Redmi 5 Plus; vince; qcom; tr_TR;
Android (23/6.0; 480dpi; 1080x1920; Xiaomi; Redmi Pro; omega; mt6797; tr_TR;
Android (19/4.4.2; 480dpi; 1080x1920; GENERAL_MOBILE/GM; Discovery Elite; GENERAL_MOBILE; qcom; tr_TR))
Android (24/7.0; 480dpi; 1080x1812; HUAWEI; VTR-L09; HWVTR; hi3660; tr_TR;
Android (23/6.0.1; 320dpi; 720x1280; Xiaomi; Redmi 3S; land; qcom; tr_TR;
Android (22/5.1; 480dpi; 1080x1920; Meizu; m3 note; m3note; mt6755; tr_TR;
Android (26/8.0.0; 480dpi; 1080x1920; HUAWEI/HONOR; STF-L09; HWSTF; hi3660; tr_TR;
Android (26/8.0.0; 480dpi; 1080x2076; samsung; SM-G950F; dreamlte; samsungexynos8895; tr_TR;
Android (22/5.1.1; 480dpi; 1080x1776; Sony; C6503; C6503; qcom; tr_TR;
Android (25/7.1.1; 320dpi; 720x1280; samsung; SM-J510H; j5x3g; qcom; tr_TR;
Android (24/7.0; 480dpi; 1080x1794; HUAWEI; EVA-L09; HWEVA; hi3650; hu_HU)
Android (22/5.1.1; 320dpi; 720x1280; samsung; SM-J320F; j3xlte; sc8830; tr_TR;
Android (22/5.1.1; 320dpi; 720x1280; samsung; SM-J500H; j53g; qcom; tr_TR;
Android (21/5.0; 480dpi; 1080x1920; samsung; SM-N9005; hlte; qcom; ar_AE)
Android (24/7.0; 420dpi; 1080x1920; samsung; SM-J730FM; j7y17lte; samsungexynos7870; tr_TR;
Android (24/7.0; 420dpi; 1080x1920; samsung; SM-A520F; a5y17lte; samsungexynos7880; tr_TR;
Android (22/5.1; 240dpi; 480x782; alps/lge; LG-X210; m13g; mt6580; tr_TR;
Android (24/7.0; 420dpi; 1080x1920; samsung; SM-A520F; a5y17lte; samsungexynos7880; tr_TR;
Android (22/5.1.1; 480dpi; 1080x1920; Xiaomi; Redmi Note 3; kenzo; qcom; tr_TR;
Android (24/7.0; 280dpi; 720x1280; samsung; SM-J330F; j3y17lte; samsungexynos7570; tr_TR;
Android (23/6.0.1; 320dpi; 720x1280; samsung; SM-A500H; a53g; qcom; tr_TR;
Android (24/7.0; 320dpi; 720x1280; samsung; SM-A310F; a3xelte; samsungexynos7580; tr_TR))
Android (22/5.1; 480dpi; 1080x1920; Meizu; m2 note; m2note; mt6735; tr_TR;
Android (23/6.0; 320dpi; 720x1184; LEAGOO; LEAGOO M8; M8; mt6580; tr_TR;
Android (24/7.0; 420dpi; 1080x1920; samsung; SM-J730FM; j7y17lte; samsungexynos7870; tr_TR;
Android (22/5.1; 480dpi; 1080x1920; LENOVO/Lenovo; Lenovo K51c78; k5fp; mt6735; tr_TR;
Android (23/6.0; 320dpi; 720x1280; Meizu; M5s; M5s; mt6735; tr_TR;
